!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
ધાદિંગ	ધા@@ દિ@@ ંગ
ધાનેરા	ધા@@ ને@@ રા
ધીણોધર	ધી@@ ણો@@ ધર
ધુવારણ	ધુ@@ વા@@ રણ
ધેમાજી	ધે@@ મા@@ જી
ધોકડવા	ધો@@ કડ@@ વા
ધોલેરા	ધો@@ લે@@ રા
નરનાળા	નર@@ ના@@ ળા
નરસંડા	નર@@ સં@@ ડા
નવરોજી	નવ@@ રો@@ જી
નાડાપા	ના@@ ડા@@ પા
નામિકા	ના@@ મિ@@ કા
નાહરગઢ	ના@@ હર@@ ગઢ
નિકેતન	નિ@@ કે@@ તન
નિમાડી	નિ@@ મા@@ ડી
નિરંજન	નિ@@ રં@@ જન
નિરાલા	નિ@@ રા@@ લા
નિરુપા	નિ@@ રુ@@ પા
નિવેદન	નિ@@ વે@@ દન
નીશાણા	ની@@ શા@@ ણા
નેમાડે	ને@@ મા@@ ડે
નેરુદા	ને@@ રુ@@ દા
નેલ્સન	ને@@ લ્@@ સન
નોર્ટન	નો@@ ર્@@ ટન
નોર્ધન	નો@@ ર્@@ ધન
નોર્વે	નો@@ ર્@@ વે
પંચોળી	પં@@ ચો@@ ળી
પરમાણુ	પર@@ મા@@ ણુ
પાનીપત	પા@@ ની@@ પત
પાનેલી	પા@@ ને@@ લી
પાબુમઠ	પા@@ બુ@@ મઠ
પાબ્લો	પા@@ બ્@@ લો
પામેલા	પા@@ મે@@ લા
પાયાના	પા@@ યા@@ ના
પાલેકર	પા@@ લે@@ કર
પાવાગઢ	પા@@ વા@@ ગઢ
પાશ્ચર	પા@@ શ્@@ ચર
પાસ્તા	પા@@ સ્@@ તા
પિછોલા	પિ@@ છો@@ લા
પિન્ટર	પિ@@ ન્@@ ટર
પિસ્તા	પિ@@ સ્@@ તા
પીઝાનો	પી@@ ઝા@@ નો
પીરોજી	પી@@ રો@@ જી
પીરોટન	પી@@ રો@@ ટન
પુર્ણા	પુ@@ ર્@@ ણા
પુષ્કર	પુ@@ ષ્@@ કર
પેટિસન	પે@@ ટિ@@ સન
પેન્શન	પે@@ ન્@@ શન
પેન્સી	પે@@ ન્@@ સી
પોશાકો	પો@@ શા@@ કો
પોશીના	પો@@ શી@@ ના
પ્લૂટો	પ્@@ લૂ@@ ટો
પ્લેટો	પ્@@ લે@@ ટો
ફાંગણી	ફા@@ ંગ@@ ણી
ફાતિમા	ફા@@ તિ@@ મા
ફાલુદા	ફા@@ લુ@@ દા
ફિક્શન	ફિ@@ ક્@@ શન
ફીજીનો	ફી@@ જી@@ નો
ફુગાવો	ફુ@@ ગા@@ વો
ફુત્કી	ફુ@@ ત્@@ કી
ફુદીનો	ફુ@@ દી@@ નો
ફૂલોની	ફૂ@@ લો@@ ની
ફેલુદા	ફે@@ લુ@@ દા
બરનાલા	બર@@ ના@@ લા
બરબોધન	બર@@ બો@@ ધન
બલસમંદ	બલ@@ સમ@@ ંદ
બાંટવા	બા@@ ંટ@@ વા
બાકુલા	બા@@ કુ@@ લા
બાજુરા	બા@@ જુ@@ રા
બાપ્સી	બા@@ પ્@@ સી
બારાડી	બા@@ રા@@ ડી
બાલંભા	બા@@ લં@@ ભા
બાળાજી	બા@@ ળા@@ જી
બાસ્ગો	બા@@ સ્@@ ગો
બિટ્ટા	બિ@@ ટ્@@ ટા
બિન્ની	બિ@@ ન્@@ ની
બિરૂની	બિ@@ રૂ@@ ની
બીજોરા	બી@@ જો@@ રા
બીબીનો	બી@@ બી@@ નો
બીબીસી	બી@@ બી@@ સી
બીમારી	બી@@ મા@@ રી
બુરુલી	બુ@@ રુ@@ લી
બેગુની	બે@@ ગુ@@ ની
બેદાડે	બે@@ દા@@ ડે
બેનરજી	બે@@ નર@@ જી
બૉહરનો	બૉ@@ હર@@ નો
બોંદલા	બો@@ ંદ@@ લા
બોચાસણ	બો@@ ચા@@ સણ
બોડિદર	બો@@ ડિ@@ દર
બોડેલી	બો@@ ડે@@ લી
ભવભૂતિ	ભવ@@ ભૂ@@ તિ
ભાટ્ટી	ભા@@ ટ્@@ ટી
ભાથિજી	ભા@@ થિ@@ જી
ભાદરવા	ભા@@ દર@@ વા
ભાદરવો	ભા@@ દર@@ વો
ભાનાડા	ભા@@ ના@@ ડા
ભાયાણી	ભા@@ યા@@ ણી
ભારાસર	ભા@@ રા@@ સર
ભાલાળા	ભા@@ લા@@ ળા
ભાવિના	ભા@@ વિ@@ ના
ભાસ્કર	ભા@@ સ્@@ કર
ભિલોડા	ભિ@@ લો@@ ડા
ભિવાની	ભિ@@ વા@@ ની
ભીમકટા	ભી@@ મક@@ ટા
ભીમોરા	ભી@@ મો@@ રા
ભુંભલી	ભુ@@ ંભ@@ લી
ભુટ્ટો	ભુ@@ ટ્@@ ટો
ભુસાવળ	ભુ@@ સા@@ વળ
ભૂમિગત	ભૂ@@ મિ@@ ગત
ભૂમિતિ	ભૂ@@ મિ@@ તિ
ભોગાવો	ભો@@ ગા@@ વો
ભોજાણી	ભો@@ જા@@ ણી
મતદાતા	મત@@ દા@@ તા
મધ્યમા	મધ@@ ્ય@@ મા
માકડું	મા@@ કડ@@ ું
માજુલી	મા@@ જુ@@ લી
માટેના	મા@@ ટે@@ ના
માતાનો	મા@@ તા@@ નો
માથાનો	મા@@ થા@@ નો
માધાપર	મા@@ ધા@@ પર
માધુરી	મા@@ ધુ@@ રી
માનવતા	મા@@ નવ@@ તા
મામૂટી	મા@@ મૂ@@ ટી
માયામિ	મા@@ યા@@ મિ
મારુતિ	મા@@ રુ@@ તિ
માલીનો	મા@@ લી@@ નો
માલ્ટા	મા@@ લ્@@ ટા
મિઝોરી	મિ@@ ઝો@@ રી
મીટ્ટી	મી@@ ટ્@@ ટી
મીઠાવી	મી@@ ઠા@@ વી
મીનોતી	મી@@ નો@@ તી
મુકુંદ	મુ@@ કુ@@ ંદ
મુડાણા	મુ@@ ડા@@ ણા
મુદ્ગલ	મુ@@ દ્@@ ગલ
મુલુંડ	મુ@@ લુ@@ ંડ
મુલ્લા	મુ@@ લ્@@ લા
મૃદુલા	મૃ@@ દુ@@ લા
મેઘાણી	મે@@ ઘા@@ ણી
મેઘાલય	મે@@ ઘા@@ લય
મેવાણી	મે@@ વા@@ ણી
મૈથિલી	મૈ@@ થિ@@ લી
મોટેરા	મો@@ ટે@@ રા
મોડાસા	મો@@ ડા@@ સા
મોતિસર	મો@@ તિ@@ સર
મોનિટર	મો@@ નિ@@ ટર
મોન્ટે	મો@@ ન્@@ ટે
મોબાઇલ	મો@@ બા@@ ઇલ
મોરાગઢ	મો@@ રા@@ ગઢ
મોસંબી	મો@@ સં@@ બી
મોસ્કો	મો@@ સ્@@ કો
મોહાલી	મો@@ હા@@ લી
યાયાવર	યા@@ યા@@ વર
યોગિની	યો@@ ગિ@@ ની
રમકડું	રમ@@ કડ@@ ું
રાઘોબા	રા@@ ઘો@@ બા
રાથોંગ	રા@@ થો@@ ંગ
રાપ્તી	રા@@ પ્@@ તી
રુકમણી	રુ@@ કમ@@ ણી
રૂપાણી	રૂ@@ પા@@ ણી
રૂપેરી	રૂ@@ પે@@ રી
રૂમાલી	રૂ@@ મા@@ લી
રેડ્ડી	રે@@ ડ્@@ ડી
રોલ્પા	રો@@ લ્@@ પા
રોહાનો	રો@@ હા@@ નો
રોહિણી	રો@@ હિ@@ ણી
લીંબડી	લી@@ ંબ@@ ડી
લેખોની	લે@@ ખો@@ ની
લેલેટી	લે@@ લે@@ ટી
લોંકડી	લો@@ ંક@@ ડી
લોકેટર	લો@@ કે@@ ટર
લોકોની	લો@@ કો@@ ની
લોહાણા	લો@@ હા@@ ણા
વરસોડા	વર@@ સો@@ ડા
વાંદરો	વા@@ ંદ@@ રો
વાકાટક	વા@@ કા@@ ટક
વાકાણી	વા@@ કા@@ ણી
વાઘુરા	વા@@ ઘુ@@ રા
વાઘેલા	વા@@ ઘે@@ લા
વાછાવડ	વા@@ છા@@ વડ
વારાહી	વા@@ રા@@ હી
વાર્ટા	વા@@ ર્@@ ટા
વાલ્સન	વા@@ લ્@@ સન
વાસાવડ	વા@@ સા@@ વડ
વાસ્કો	વા@@ સ્@@ કો
વિકીરણ	વિ@@ કી@@ રણ
વિક્ટર	વિ@@ ક્@@ ટર
વિદિશા	વિ@@ દિ@@ શા
વિન્ચી	વિ@@ ન્@@ ચી
વિરાણી	વિ@@ રા@@ ણી
વિરોધી	વિ@@ રો@@ ધી
વિશનસર	વિ@@ શન@@ સર
વૃદ્ધી	વૃ@@ દ્@@ ધી
વેજળકા	વે@@ જળ@@ કા
વેદાંગ	વે@@ દા@@ ંગ
વેદાંત	વે@@ દા@@ ંત
વેનેસા	વે@@ ને@@ સા
વૈંકયા	વૈ@@ ંક@@ યા
વૈતરણા	વૈ@@ તર@@ ણા
વૈશાલી	વૈ@@ શા@@ લી
વોલ્ગા	વો@@ લ્@@ ગા
વોલ્ટર	વો@@ લ્@@ ટર
વોલ્વો	વો@@ લ્@@ વો
શાપોરા	શા@@ પો@@ રા
શિન્તો	શિ@@ ન્@@ તો
શિમોગા	શિ@@ મો@@ ગા
શિલોંગ	શિ@@ લો@@ ંગ
શિવાજી	શિ@@ વા@@ જી
શિહોરી	શિ@@ હો@@ રી
શેખાવત	શે@@ ખા@@ વત
શેટ્ટી	શે@@ ટ્@@ ટી
શોબિગી	શો@@ બિ@@ ગી
સંજેલી	સં@@ જે@@ લી
સંથાલી	સં@@ થા@@ લી
સંપાદન	સં@@ પા@@ દન
સંશોધન	સં@@ શો@@ ધન
સમજૂતી	સમ@@ જૂ@@ તી
સરગુજા	સર@@ ગુ@@ જા
સરવાળો	સર@@ વા@@ ળો
સરવૈયા	સર@@ વૈ@@ યા
સાંગલી	સા@@ ંગ@@ લી
સાણોદા	સા@@ ણો@@ દા
સાથોડી	સા@@ થો@@ ડી
સાવરકર	સા@@ વર@@ કર
સિનેમા	સિ@@ ને@@ મા
સિન્હા	સિ@@ ન્@@ હા
સિપાહી	સિ@@ પા@@ હી
સિમ્બા	સિ@@ મ્@@ બા
સિરોહી	સિ@@ રો@@ હી
સિસ્કો	સિ@@ સ્@@ કો
સીંગપર	સી@@ ંગ@@ પર
સીઆઇડી	સી@@ આઇ@@ ડી
સુંદરી	સુ@@ ંદ@@ રી
સુજ્જન	સુ@@ જ્@@ જન
સુઝુકી	સુ@@ ઝુ@@ કી
સુધાગઢ	સુ@@ ધા@@ ગઢ
સુનામી	સુ@@ ના@@ મી
સુનિતા	સુ@@ નિ@@ તા
સુનિધિ	સુ@@ નિ@@ ધિ
સુનીતા	સુ@@ ની@@ તા
સુપેડી	સુ@@ પે@@ ડી
સુમાલી	સુ@@ મા@@ લી
સુષ્મા	સુ@@ ષ્@@ મા
સુહાસી	સુ@@ હા@@ સી
સેન્ટર	સે@@ ન્@@ ટર
સોનીપત	સો@@ ની@@ પત
સોમૈયા	સો@@ મૈ@@ યા
સોમ્ગો	સો@@ મ્@@ ગો
સોલોમન	સો@@ લો@@ મન
સ્પીતી	સ્@@ પી@@ તી
સ્મૃતિ	સ્@@ મૃ@@ તિ
હરકિશન	હર@@ કિ@@ શન
હરકિસન	હર@@ કિ@@ સન
હાંડવો	હા@@ ંડ@@ વો
હાજાપર	હા@@ જા@@ પર
હાર્ડી	હા@@ ર્@@ ડી
હાવેરી	હા@@ વે@@ રી
હિલેરી	હિ@@ લે@@ રી
હિસાબી	હિ@@ સા@@ બી
હુક્કો	હુ@@ ક્@@ કો
હેક્ટર	હે@@ ક્@@ ટર
હેરિસન	હે@@ રિ@@ સન
હેલોજન	હે@@ લો@@ જન
હૈતીનો	હૈ@@ તી@@ નો
હોલોંગ	હો@@ લો@@ ંગ
અભિયાન	અભ@@ િયા@@ ન
અવક્ષય	અવ@@ ક્ષ@@ ય
અવલોકન	અવ@@ લોક@@ ન
આંકલાવ	આં@@ કલા@@ વ
ઉદ્યોગ	ઉદ@@ ્યો@@ ગ
ઉમિયામ	ઉમ@@ િયા@@ મ
કાંગેર	કા@@ ંગે@@ ર
કાત્રજ	કા@@ ત્ર@@ જ
કેન્યા	કે@@ ન્ય@@ ા
ખેંગાર	ખે@@ ંગા@@ ર
ગાર્ડન	ગા@@ ર્ડ@@ ન
ગાર્ડસ	ગા@@ ર્ડ@@ સ
ગોમ્પા	ગો@@ મ્પ@@ ા
ચંપારણ	ચં@@ પાર@@ ણ
ચેઇન્સ	ચે@@ ઇન્@@ સ
ચેન્નઈ	ચે@@ ન્ન@@ ઈ
જયદ્રથ	જય@@ દ્ર@@ થ
જળબંધો	જળ@@ બંધ@@ ો
ટેકરીઓ	ટે@@ કરી@@ ઓ
તાત્યો	તા@@ ત્ય@@ ો
દરીયાઈ	દર@@ ીયા@@ ઈ
દર્રાહ	દર@@ ્રા@@ હ
દેવાયત	દે@@ વાય@@ ત
ધુમ્મસ	ધુ@@ મ્મ@@ સ
ધોરાજી	ધો@@ રાજ@@ ી
નાંદેડ	ના@@ ંદે@@ ડ
નિર્મલ	નિ@@ ર્મ@@ લ
નુબ્રા	નુ@@ બ્ર@@ ા
નેહવાલ	ને@@ હવા@@ લ
પાત્રો	પા@@ ત્ર@@ ો
પાન્ડુ	પા@@ ન્ડ@@ ુ
પુરાણો	પુ@@ રાણ@@ ો
પુસ્તક	પુ@@ સ્ત@@ ક
પેટ્રા	પે@@ ટ્ર@@ ા
પોઇન્ટ	પો@@ ઇન્@@ ટ
ફિરંગી	ફિ@@ રંગ@@ ી
ફ્લાઇટ	ફ્@@ લાઇ@@ ટ
બોકારો	બો@@ કાર@@ ો
બોમ્બે	બો@@ મ્બ@@ ે
બોર્ડર	બો@@ ર્ડ@@ ર
ભગત્રવ	ભગ@@ ત્ર@@ વ
ભગદત્ત	ભગ@@ દત્@@ ત
ભુમ્મન	ભુ@@ મ્મ@@ ન
મણિયાર	મણ@@ િયા@@ ર
મહર્ષિ	મહ@@ ર્ષ@@ િ
માદ્રી	મા@@ દ્ર@@ ી
મિત્તલ	મિ@@ ત્ત@@ લ
મિશ્રા	મિ@@ શ્ર@@ ા
મુંગેર	મુ@@ ંગે@@ ર
મુદ્રા	મુ@@ દ્ર@@ ા
મુબારક	મુ@@ બાર@@ ક
મૃત્યુ	મૃ@@ ત્ય@@ ુ
મેટ્રો	મે@@ ટ્ર@@ ો
રાંદેર	રા@@ ંદે@@ ર
રાત્રિ	રા@@ ત્ર@@ િ
રિસર્ચ	રિ@@ સર્@@ ચ
રોઇન્ગ	રો@@ ઇન્@@ ગ
રોવર્સ	રો@@ વર્@@ સ
લિમ્બો	લિ@@ મ્બ@@ ો
લોખંડે	લો@@ ખંડ@@ ે
વારંગલ	વા@@ રંગ@@ લ
વિવાદો	વિ@@ વાદ@@ ો
વૈવર્ત	વૈ@@ વર્@@ ત
વૈષ્ણવ	વૈ@@ ષ્ણ@@ વ
શિખંડી	શિ@@ ખંડ@@ ી
શિરાજી	શિ@@ રાજ@@ ી
શીર્ષક	શી@@ ર્ષ@@ ક
સંજ્ઞા	સં@@ જ્ઞ@@ ા
સંભાષણ	સં@@ ભાષ@@ ણ
સમ્રાટ	સમ@@ ્રા@@ ટ
સાક્રી	સા@@ ક્ર@@ ી
સિક્રી	સિ@@ ક્ર@@ ી
સિન્નર	સિ@@ ન્ન@@ ર
સિસ્ટમ	સિ@@ સ્ટ@@ મ
સેકર્ડ	સે@@ કર્@@ ડ
સેહવાગ	સે@@ હવા@@ ગ
સ્નાયુ	સ્@@ નાય@@ ુ
હરદયાળ	હર@@ દયા@@ ળ
હિબ્રુ	હિ@@ બ્ર@@ ુ
હોનારત	હો@@ નાર@@ ત
અમરનાથ	અમ@@ રનાથ
અમરેલી	અમ@@ રેલી
અરરિયા	અર@@ રિયા
અરવિંદ	અર@@ વિંદ
ઉદવાડા	ઉદ@@ વાડા
ઉધમપુર	ઉધ@@ મપુર
ઉપગ્રહ	ઉપ@@ ગ્રહ
ઉમરિયા	ઉમ@@ રિયા
ઓપરેશન	ઓપ@@ રેશન
કાનપુર	કા@@ નપુર
કાનેરી	કા@@ નેરી
કિર્તિ	કિ@@ ર્તિ
કીર્તિ	કી@@ ર્તિ
કુસ્તી	કુ@@ સ્તી
કોકિંગ	કો@@ કિંગ
કોરિયા	કો@@ રિયા
કોવિંદ	કો@@ વિંદ
ખાડિયા	ખા@@ ડિયા
ગણદેવી	ગણ@@ દેવી
ગેલિયમ	ગે@@ લિયમ
ગોવિંદ	ગો@@ વિંદ
ચાડિયો	ચા@@ ડિયો
ચેસ્ટર	ચે@@ સ્ટર
ચોબારી	ચો@@ બારી
જયશંકર	જય@@ શંકર
જયસિંહ	જય@@ સિંહ
જલગાંવ	જલ@@ ગાંવ
જુનાગઢ	જુ@@ નાગઢ
જૂનાગઢ	જૂ@@ નાગઢ
જેતપુર	જે@@ તપુર
જોડિયા	જો@@ ડિયા
ઠાડિયા	ઠા@@ ડિયા
થુલિયમ	થુ@@ લિયમ
દિવાળી	દિ@@ વાળી
દિવેલી	દિ@@ વેલી
દિસપુર	દિ@@ સપુર
ધુલિયા	ધુ@@ લિયા
ધોડીયા	ધો@@ ડીયા
ધોલપુર	ધો@@ લપુર
નરસિંહ	નર@@ સિંહ
નવગ્રહ	નવ@@ ગ્રહ
નેત્રા	ને@@ ત્રા
નેવેલી	ને@@ વેલી
નોર્મન	નો@@ ર્મન
પટનાયક	પટ@@ નાયક
પાત્રા	પા@@ ત્રા
પોલેંડ	પો@@ લેંડ
બરડીયા	બર@@ ડીયા
બરવાળા	બર@@ વાળા
બિલાડી	બિ@@ લાડી
બેડીયા	બે@@ ડીયા
ભરતપુર	ભર@@ તપુર
મદન્ના	મદ@@ ન્ના
મનમોહન	મન@@ મોહન
મલબારી	મલ@@ બારી
માલપુર	મા@@ લપુર
મુક્તિ	મુ@@ ક્તિ
મૂર્તિ	મૂ@@ ર્તિ
યાત્રા	યા@@ ત્રા
યુરિયા	યુ@@ રિયા
રાબિયા	રા@@ બિયા
રિનીયમ	રિ@@ નીયમ
રેડિયો	રે@@ ડિયો
રેવાડી	રે@@ વાડી
રોબર્ટ	રો@@ બર્ટ
લિબિયા	લિ@@ બિયા
લેસ્ટર	લે@@ સ્ટર
વિડિયો	વિ@@ ડિયો
વિનાયક	વિ@@ નાયક
વિરપુર	વિ@@ રપુર
વિરાવળ	વિ@@ રાવળ
વિલિયમ	વિ@@ લિયમ
વીરપુર	વી@@ રપુર
વેન્ના	વે@@ ન્ના
વેરાવળ	વે@@ રાવળ
શિકારી	શિ@@ કારી
શિરપુર	શિ@@ રપુર
શેરપુર	શે@@ રપુર
સંખેડા	સં@@ ખેડા
સરકારી	સર@@ કારી
સહકારી	સહ@@ કારી
સાતારા	સા@@ તારા
સાનિયા	સા@@ નિયા
સિરિયા	સિ@@ રિયા
સીસીયમ	સી@@ સીયમ
સેનાની	સે@@ નાની
સોનપુર	સો@@ નપુર
સોનિયા	સો@@ નિયા
સોનેરી	સો@@ નેરી
સ્ત્રી	સ્@@ ત્રી
હીલિયમ	હી@@ લિયમ
હેસીયમ	હે@@ સીયમ
અંગૂઠો	અંગ@@ ૂ@@ ઠ@@ ો
ઇન્દૌર	ઇન્@@ દ@@ ૌ@@ ર
ક્રમચય	ક્ર@@ મ@@ ચ@@ ય
દ્રુપદ	દ્ર@@ ુ@@ પ@@ દ
પંચમઢી	પંચ@@ મ@@ ઢ@@ ી
પશ્તૂન	પશ્@@ ત@@ ૂ@@ ન
પ્રીટિ	પ્ર@@ ી@@ ટ@@ િ
ફ્રિડમ	ફ્ર@@ િ@@ ડ@@ મ
રંગમંચ	રંગ@@ મ@@ ં@@ ચ
શ્રાવણ	શ્ર@@ ા@@ વ@@ ણ
સૂચનપટ	સૂચ@@ ન@@ પ@@ ટ
અંગિરસ	અંગ@@ િ@@ રસ
અભિષેક	અભિ@@ ષ@@ ેક
આર્થિક	આર્@@ થ@@ િક
ઉત્થાન	ઉત્@@ થ@@ ાન
ઉપાસના	ઉપા@@ સ@@ ના
ઉપાસની	ઉપા@@ સ@@ ની
કર્ટની	કર્@@ ટ@@ ની
કલ્પના	કલ્@@ પ@@ ના
કલ્પસર	કલ્@@ પ@@ સર
