!	!	_!
!!	!!	_!!
!((	!((	_!((
!)	!)	_!)
!-	!-	_!-
!mxt	!MXT	_!mxt
!xt	!XT	_!xt
દીમાપૂર	દીમાપૂર	_દીમાપૂર
દીવ	દીવ	_દીવ
દીવાદાંડી	દીવાદાંડી	_દીવાદાંડી
દીવાન	દીવાન	_દીવાન
દીવાલ	દીવાલ	_દીવાલ
દું?	દું?	_દું?
દુઃશાસન	દુઃશાસન	_દુઃશાસન
દુકાળ	દુકાળ	_દુકાળ
દુક્કડં	દુક્કડં	_દુક્કડં
દુખાવો	દુખાવો	_દુખાવો
દુગારવાડી	દુગારવાડી	_દુગારવાડી
દુધગંગા	દુધગંગા	_દુધગંગા
દુધસાગર	દુધસાગર	_દુધસાગર
દુધાળા	દુધાળા	_દુધાળા
દુન	દુન	_દુન
દુનિયાની	દુનિયાની	_દુનિયાની
દુબઈ	દુબઈ	_દુબઈ
દુમકા	દુમકા	_દુમકા
દુરંતો	દુરંતો	_દુરંતો
દુર્ગ	દુર્ગ	_દુર્ગ
દુર્ગા	દુર્ગા	_દુર્ગા
દુર્ગાવતી	દુર્ગાવતી	_દુર્ગાવતી
દુર્યોધન	દુર્યોધન	_દુર્યોધન
દુર્વાસા	દુર્વાસા	_દુર્વાસા
દુલા	દુલા	_દુલા
દુલિપસિંહજી	દુલિપસિંહજી	_દુલિપસિંહજી
દુશલા	દુશલા	_દુશલા
દુષ્કાળ	દુષ્કાળ	_દુષ્કાળ
દૂત	દૂત	_દૂત
દૂતાવાસ	દૂતાવાસ	_દૂતાવાસ
દૂધ	દૂધ	_દૂધ
દૂધપાક	દૂધપાક	_દૂધપાક
દૂધરાજ	દૂધરાજ	_દૂધરાજ
દૂધસાગર	દૂધસાગર	_દૂધસાગર
દૂધી	દૂધ +(ી)	_દૂધ +ી
દૂરદર્શન	દૂરદર્શન	_દૂરદર્શન
દૂરબીન	દૂરબીન	_દૂરબીન
દૂરસંચાર	દૂરસંચાર	_દૂરસંચાર
દૃષ્ટિકોણ	દૃષ્ટિકોણ	_દૃષ્ટિકોણ
દે	દે	_દે
દેગામ	દેગામ	_દેગામ
દેત્રોજ	દેત્રોજ	_દેત્રોજ
દેત્રોજ-રામપુરા	દેત્રોજ રામપુરા	_દેત્રોજ || _રામપુરા
દેનપસાર	દેનપસાર	_દેનપસાર
દેબ્સા	દેબ્સા	_દેબ્સા
દેરા	દેરા	_દેરા
દેરોલ	દેરોલ	_દેરોલ
દેલવાડા	દેલવાડા	_દેલવાડા
દેવ	દેવ	_દેવ
દેવકુંડ	દેવકુંડ	_દેવકુંડ
દેવગઢ	દેવગઢ	_દેવગઢ
દેવગઢબારિયા	દેવગઢબારિયા	_દેવગઢબારિયા
દેવચકલી	દેવચકલી	_દેવચકલી
દેવતા	દેવતા	_દેવતા
દેવતાઓ	દેવતાઓ	_દેવતાઓ
દેવધર	દેવધર	_દેવધર
દેવનાગરી	દેવનાગરી	_દેવનાગરી
દેવબંદ	દેવબંદ	_દેવબંદ
દેવભૂમિ	દેવભૂમિ	_દેવભૂમિ
દેવરાજીયા	દેવરાજીયા	_દેવરાજીયા
દેવરિયા	દેવરિયા	_દેવરિયા
દેવરી	દેવરી	_દેવરી
દેવળ	દેવળ	_દેવળ
દેવળા	દેવળા	_દેવળા
દેવળીયા	દેવળીયા	_દેવળીયા
દેવસર	દેવસર	_દેવસર
દેવાંગ	દેવાંગ	_દેવાંગ
દેવાનંદ	દેવાનંદ	_દેવાનંદ
દેવાયત	દેવાયત	_દેવાયત
દેવાસ	દેવાસ	_દેવાસ
દેવી	દેવ +(ી)	_દેવ +ી
દેવી,	દેવી,	_દેવી,
દેવીકુલમ,	દેવીકુલમ,	_દેવીકુલમ,
દેવીપાટન	દેવીપાટન	_દેવીપાટન
દેવીપુજક	દેવીપુજક	_દેવીપુજક
દેવેન	દેવેન	_દેવેન
દેવેન્દ્ર	દેવેન્દ્ર	_દેવેન્દ્ર
દેવૈઆ	દેવૈઆ	_દેવૈઆ
દેશ	દેશ	_દેશ
દેશમુખ	દેશમુખ	_દેશમુખ
દેશલપર	દેશલપર	_દેશલપર
દેશી	દેશ +(ી)	_દેશ +ી
દેશો	દેશ +(ો)	_દેશ +ો
દેશોના	દેશ +(ો) +(ના)	_દેશ +ો +ના
દેશોની	દેશોની	_દેશોની
દેસાઇ	દેસાઇ	_દેસાઇ
દેસાઈ	દેસાઈ	_દેસાઈ
દેહરાદૂન	દેહરાદૂન	_દેહરાદૂન
દેહાંતદંડ	દેહાંતદંડ	_દેહાંતદંડ
દેહાત	દેહાત	_દેહાત
દૈનિક	દૈનિક	_દૈનિક
દૈયડ	દૈયડ	_દૈયડ
દૈલેખ	દૈલેખ	_દૈલેખ
દોઆબ	દોઆબ	_દોઆબ
દોડવીર	દોડવીર	_દોડવીર
દોરાબજી	દોરાબજી	_દોરાબજી
દોલતપર	દોલતપર	_દોલતપર
દોલપા	દોલપા	_દોલપા
દોશી	દોશી	_દોશી
દોહા	દોહા	_દોહા
દૌસા	દૌસા	_દૌસા
દ્રવ્યમાન	દ્રવ્યમાન	_દ્રવ્યમાન
દ્રષ્ટિ	દ્રષ્ટિ	_દ્રષ્ટિ
દ્રાંગ	દ્રાંગ	_દ્રાંગ
દ્રાક્ષ	દ્રાક્ષ	_દ્રાક્ષ
દ્રુંગ	દ્રુંગ	_દ્રુંગ
દ્રુપદ	દ્રુપદ	_દ્રુપદ
દ્રુહ્યુ	દ્રુહ્યુ	_દ્રુહ્યુ
દ્રોણ	દ્રોણ	_દ્રોણ
દ્રૌપદી	દ્રૌપદી	_દ્રૌપદી
દ્વાપરયુગ	દ્વાપરયુગ	_દ્વાપરયુગ
દ્વારકા	દ્વારકા	_દ્વારકા
દ્વારકાધીશ	દ્વારકાધીશ	_દ્વારકાધીશ
દ્વિજ	દ્વિજ	_દ્વિજ
દ્વિતીય	દ્વિતીય	_દ્વિતીય
દ્વિનામી	દ્વિનામી	_દ્વિનામી
દ્વિપ	દ્વિપ	_દ્વિપ
દ્વિપસમૂહ	દ્વિપસમૂહ	_દ્વિપસમૂહ
દ્વિવેદી	દ્વિવેદી	_દ્વિવેદી
દ્વિસંગી	દ્વિસંગી	_દ્વિસંગી
દ્વીપ	દ્વીપ	_દ્વીપ
દ્વીપસમૂહ	દ્વીપ સમૂહ	_દ્વીપ || _સમૂહ
ધ	ધ	_ધ
ધંધુકા	ધંધુકા	_ધંધુકા
ધન	ધન	_ધન
ધનબાદ	ધનબાદ	_ધનબાદ
ધનસુખલાલ	ધનસુખલાલ	_ધનસુખલાલ
ધનસુરા	ધનસુરા	_ધનસુરા
ધની	ધની	_ધની
ધનુ	ધનુ	_ધનુ
ધનેડાં	ધનેડાં	_ધનેડાં
ધનૌલ્ટી	ધનૌલ્ટી	_ધનૌલ્ટી
ધમતરી	ધમતરી	_ધમતરી
ધમ્મ	ધમ્મ	_ધમ્મ
ધરણગાંવ	ધરણગાંવ	_ધરણગાંવ
ધરતીકંપ	ધરતીકંપ	_ધરતીકંપ
ધરમપુર	ધરમપુર	_ધરમપુર
ધરાવતા	ધરાવતા	_ધરાવતા
ધરાવતી	ધરાવતી	_ધરાવતી
ધરો	ધરો	_ધરો
ધરોઈ	ધરોઈ	_ધરોઈ
ધરોહર	ધરોહર	_ધરોહર
ધર્મ	ધર્મ	_ધર્મ
ધર્મકુમારસિંહજી	ધર્મકુમારસિંહજી	_ધર્મકુમારસિંહજી
ધર્મગ્રંથો	ધર્મ ગ્રંથ +(ો)	_ધર્મ || _ગ્રંથ +ો
ધર્મજ	ધર્મજ	_ધર્મજ
ધર્મના	ધર્મ +(ના)	_ધર્મ +ના
ધર્મનાથ	ધર્મનાથ	_ધર્મનાથ
ધર્મપુરી	ધર્મ પુર +(ી)	_ધર્મ || _પુર +ી
ધર્મમાં	ધર્મમાં	_ધર્મમાં
ધર્મવીર	ધર્મવીર	_ધર્મવીર
ધર્મશાલા	ધર્મશાલા	_ધર્મશાલા
ધર્મેન્દ્ર	ધર્મેન્દ્ર	_ધર્મેન્દ્ર
ધવલાગિરી	ધવલાગિરી	_ધવલાગિરી
ધાઈ	ધાઈ	_ધાઈ
ધાણાજીરુ	ધાણાજીરુ	_ધાણાજીરુ
ધાણેટી	ધાણેટી	_ધાણેટી
ધાતુ	ધાતુ	_ધાતુ
ધાતુશાસ્ત્ર	ધાતુ શાસ્ત્ર	_ધાતુ || _શાસ્ત્ર
ધાદિંગ	ધાદિંગ	_ધાદિંગ
ધાનશાક	ધાનશાક	_ધાનશાક
ધાનેરા	ધાનેરા	_ધાનેરા
ધાન્ય	ધાન્ય	_ધાન્ય
ધામ	ધામ	_ધામ
ધામ,	ધામ,	_ધામ,
ધામાય	ધામાય	_ધામાય
ધામી	ધામ +(ી)	_ધામ +ી
ધાર	ધાર	_ધાર
ધારચુલા,	ધારચુલા,	_ધારચુલા,
ધારી	ધાર +(ી)	_ધાર +ી
ધાર્મિક	ધાર્મિક	_ધાર્મિક
ધાવડા	ધાવડા	_ધાવડા
ધિરાણ	ધિરાણ	_ધિરાણ
ધિરાણનું	ધિરાણનું	_ધિરાણનું
ધી	ધી	_ધી
ધીણોધર	ધીણોધર	_ધીણોધર
ધીરુ	ધીરુ	_ધીરુ
ધીરુબેન	ધીરુબેન	_ધીરુબેન
ધીરુભાઇ	ધીરુભાઇ	_ધીરુભાઇ
ધીરુભાઈ	ધીરુભાઈ	_ધીરુભાઈ
ધીરેન	ધીરેન	_ધીરેન
ધીરેન્દ્ર	ધીરેન્દ્ર	_ધીરેન્દ્ર
ધુંઆધાર	ધુંઆધાર	_ધુંઆધાર
ધુમ્મસ	ધુમ્મસ	_ધુમ્મસ
ધુલિયા	ધુલિયા	_ધુલિયા
ધુવારણ	ધુવારણ	_ધુવારણ
ધૂપગઢ	ધૂપગઢ	_ધૂપગઢ
ધૂમકેતુ	ધૂમકેતુ	_ધૂમકેતુ
ધૂમ્રપાન	ધૂમ્રપાન	_ધૂમ્રપાન
ધૃતરાષ્ટ્ર	ધૃતરાષ્ટ્ર	_ધૃતરાષ્ટ્ર
ધૃષ્ટકેતુ	ધૃષ્ટકેતુ	_ધૃષ્ટકેતુ
ધૃષ્ટદ્યુમ્ન	ધૃષ્ટદ્યુમ્ન	_ધૃષ્ટદ્યુમ્ન
ધેંકનાલ	ધેંકનાલ	_ધેંકનાલ
ધેકેલીયા	ધેકેલીયા	_ધેકેલીયા
ધેમાજી	ધેમાજી	_ધેમાજી
ધોકડવા	ધોકડવા	_ધોકડવા
ધોડીયા	ધોડીયા	_ધોડીયા
ધોતીયું	ધોતીયું	_ધોતીયું
ધોધ	ધોધ	_ધોધ
ધોધ,	ધોધ,	_ધોધ,
ધોની	ધોની	_ધોની
ધોબી	ધોબી	_ધોબી
ધોમડો	ધોમડો	_ધોમડો
ધોરણો	ધોરણો	_ધોરણો
ધોરાજી	ધોરાજી	_ધોરાજી
ધોરી	ધોર* +(ી)	_ધોર +ી
ધોરીમાર્ગ	ધોરીમાર્ગ	_ધોરીમાર્ગ
ધોરીમાર્ગો	ધોરીમાર્ગ +(ો)	_ધોરીમાર્ગ +ો
ધોરીમાર્ગોની	ધોરીમાર્ગોની	_ધોરીમાર્ગોની
ધોરો	ધોર* +(ો)	_ધોર +ો
ધોલપુર	ધોલપુર	_ધોલપુર
ધોલેરા	ધોલેરા	_ધોલેરા
ધોળકા	ધોળકા	_ધોળકા
ધોળકિયા	ધોળકિયા	_ધોળકિયા
ધોળા	ધોળા	_ધોળા
ધોળાવીરા	ધોળા વીરા	_ધોળા || _વીરા
ધોળી	ધોળી	_ધોળી
ધોળીધજા	ધોળીધજા	_ધોળીધજા
ધ્યાન	ધ્યાન	_ધ્યાન
ધ્યાની	ધ્યાન +(ી)	_ધ્યાન +ી
ધ્રંગ	ધ્રંગ	_ધ્રંગ
